CCITY Traffic Flow Wednesday 11 June 2008,,,,,,,
Time,TcsNo,Approach,det_1,det_2,det_3,det_4,Total
11/06/2008 00:05,183,Approach 1 (det: 1-4),17,21,17,2,57
11/06/2008 00:10,183,Approach 1 (det: 1-4),11,11,14,4,40
11/06/2008 00:15,183,Approach 1 (det: 1-4),17,14,10,0,41
11/06/2008 00:20,183,Approach 1 (det: 1-4),23,17,18,3,61
11/06/2008 00:25,183,Approach 1 (det: 1-4),7,12,18,7,44
11/06/2008 00:30,183,Approach 1 (det: 1-4),15,11,11,2,39
11/06/2008 00:35,183,Approach 1 (det: 1-4),17,16,12,1,46
11/06/2008 00:40,183,Approach 1 (det: 1-4),12,9,9,1,31
11/06/2008 00:45,183,Approach 1 (det: 1-4),10,10,11,1,32
11/06/2008 00:50,183,Approach 1 (det: 1-4),8,7,6,2,23
11/06/2008 00:55,183,Approach 1 (det: 1-4),8,6,5,1,20
11/06/2008 01:00,183,Approach 1 (det: 1-4),8,3,11,0,22
11/06/2008 01:05,183,Approach 1 (det: 1-4),13,6,7,1,27
11/06/2008 01:10,183,Approach 1 (det: 1-4),8,10,5,2,25
11/06/2008 01:15,183,Approach 1 (det: 1-4),10,9,5,0,24
11/06/2008 01:20,183,Approach 1 (det: 1-4),5,3,6,2,16
11/06/2008 01:25,183,Approach 1 (det: 1-4),6,9,3,0,18
11/06/2008 01:30,183,Approach 1 (det: 1-4),7,11,5,4,27
11/06/2008 01:35,183,Approach 1 (det: 1-4),2,5,10,0,17
11/06/2008 01:40,183,Approach 1 (det: 1-4),3,6,5,0,14
11/06/2008 01:45,183,Approach 1 (det: 1-4),5,7,8,0,20
11/06/2008 01:50,183,Approach 1 (det: 1-4),5,6,6,0,17
11/06/2008 01:55,183,Approach 1 (det: 1-4),5,7,4,1,17
11/06/2008 02:00,183,Approach 1 (det: 1-4),3,8,5,2,18
11/06/2008 02:05,183,Approach 1 (det: 1-4),4,7,5,1,17
11/06/2008 02:10,183,Approach 1 (det: 1-4),2,3,6,0,11
11/06/2008 02:15,183,Approach 1 (det: 1-4),5,8,7,1,21
11/06/2008 02:20,183,Approach 1 (det: 1-4),5,6,2,1,14
11/06/2008 02:25,183,Approach 1 (det: 1-4),3,3,6,1,13
11/06/2008 02:30,183,Approach 1 (det: 1-4),5,6,0,1,12
11/06/2008 02:35,183,Approach 1 (det: 1-4),2,5,4,0,11
11/06/2008 02:40,183,Approach 1 (det: 1-4),5,6,5,0,16
11/06/2008 02:45,183,Approach 1 (det: 1-4),3,4,4,3,14
11/06/2008 02:50,183,Approach 1 (det: 1-4),1,1,3,0,5
11/06/2008 02:55,183,Approach 1 (det: 1-4),2,5,5,0,12
11/06/2008 03:00,183,Approach 1 (det: 1-4),2,0,5,0,7
11/06/2008 03:05,183,Approach 1 (det: 1-4),4,4,0,1,9
11/06/2008 03:10,183,Approach 1 (det: 1-4),1,3,5,0,9
11/06/2008 03:15,183,Approach 1 (det: 1-4),2,4,4,0,10
11/06/2008 03:20,183,Approach 1 (det: 1-4),3,3,1,0,7
11/06/2008 03:25,183,Approach 1 (det: 1-4),2,3,0,1,6
11/06/2008 03:30,183,Approach 1 (det: 1-4),4,5,3,0,12
11/06/2008 03:35,183,Approach 1 (det: 1-4),5,5,3,1,14
